lon,lat,ID,barrio
-58.4689436878227,-34.6831212290818,44,Villa Lugano
-58.4746492080703,-34.6791693924514,25,Villa Lugano
-58.5011656573568,-34.6619939312268,22,Mataderos
-58.4319812938046,-34.6603948301002,19,Villa Soldati
-58.4028302089945,-34.6419495347828,55,Parque Patricios
-58.5050865271280,-34.6399669235671,54,Villa Luro
-58.3749085897491,-34.6380627211311,13,Barracas
-58.4008312914517,-34.6364511577294,16,Parque Patricios
-58.3899715394156,-34.6361700367974,14,Barracas
-58.3605875827934,-34.6341692070378,12,Boca
-58.5240388490474,-34.6295361234334,50,Versalles
-58.4837795082987,-34.6288066853747,23,Floresta
-58.4249262384203,-34.6286410416508,37,Boedo
-58.4480872125897,-34.6267799123199,8,Caballito
-58.4032266269794,-34.6260322318379,41,San Cristobal
-58.3728761245520,-34.6245638595814,9,San Telmo
-58.3856077728846,-34.6226700503651,43,Constitución
-58.4532210423583,-34.6203822656691,38,Caballito
-58.3785774936627,-34.6171616104688,4,Monserrat
-58.4092109498915,-34.6170545865481,35,Balvanera
-58.3665903701676,-34.6149735222436,40,Puerto Madero
-58.3936751080702,-34.6148898243296,36,Balvanera
-58.4729911435276,-34.6111204124573,21,Villa General Mitre
-58.4155587634678,-34.6044286003643,7,Almagro
-58.3947891246572,-34.6034184155356,5,Balvanera
-58.4040106409430,-34.6032111757525,6,Balvanera
-58.3888958784312,-34.6019397377213,3,San Nicolás
-58.3732447121941,-34.6019061749623,1,San Nicolás
-58.4410843014064,-34.5993205592476,45,Villa Crespo
-58.5156058774718,-34.5983146485397,27,Villa Devoto
-58.3801780189881,-34.5946429122572,10,Retiro
-58.4067192920302,-34.5940785225935,29,Recoleta
-58.4276086108198,-34.5924421143164,31,Palermo
-58.4526312696985,-34.5921591177849,46,Chacarita
-58.3923585768206,-34.5911369458734,11,Recoleta
-58.4512303932828,-34.5904201897966,57,Chacarita
-58.4993672554820,-34.5897128349577,24,Villa Pueyrredón
-58.4159273031662,-34.5877320976925,34,Palermo
-58.3694497390626,-34.5842523880991,28,Retiro
-58.4201379203008,-34.5825222330524,30,Palermo
-58.4136589185154,-34.5812697229336,53,Palermo
-58.4900574089335,-34.5786894695053,49,Villa Urquiza
-58.4389557998154,-34.5733085675013,32,Palermo
-58.4758210914332,-34.5731162803379,33,Villa Urquiza
-58.4562848137145,-34.5601447691271,17,Belgrano
-58.4440680276915,-34.5548216469012,52,Belgrano
-58.4909092368637,-34.5511030842355,56,Saavedra
-58.3747272916205,-34.6472840502920,15,Barracas
-58.4763367065064,-34.6414623106390,20,Parque Avellaneda
-58.4582560028220,-34.6309235325510,48,Flores
-58.3907486682826,-34.6225867587760,42,Constitución
-58.3741471240845,-34.6202784886290,2,San Telmo
-58.4648209215308,-34.6161137159670,51,Flores
-58.4395014329687,-34.6089785701230,39,Caballito
-58.4825254468868,-34.5651450980170,26,Villa Urquiza
-58.4633266271395,-34.5513755049490,18,Nuñez
-58.4171560073913,-34.6447947419400,47,Nueva Pompeya
